11-07-2024 19:30:13 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 26, CO:14 Fire: 1
11-07-2024 19:30:14 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:15 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 27, CO:13 Fire: 1
11-07-2024 19:30:16 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:24 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:24 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:25 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 24, CO:11 Fire: 1
11-07-2024 19:30:25 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 24, CO:11 Fire: 1
11-07-2024 19:30:26 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:27 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 24, CO:11 Fire: 1
11-07-2024 19:30:28 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:29 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 23, CO:11 Fire: 1
11-07-2024 19:30:30 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:31 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 23, CO:11 Fire: 3
11-07-2024 19:30:32 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:33 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 23, CO:11 Fire: 3
11-07-2024 19:30:34 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:35 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 23, CO:11 Fire: 3
11-07-2024 19:30:36 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:37 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 23, CO:11 Fire: 3
11-07-2024 19:30:38 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:39 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 22, CO:11 Fire: 1
11-07-2024 19:30:40 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:41 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 22, CO:11 Fire: 1
11-07-2024 19:30:42 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:43 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 22, CO:11 Fire: 1
11-07-2024 19:30:44 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:45 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 22, CO:11 Fire: 1
11-07-2024 19:30:46 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:47 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 22, CO:11 Fire: 1
11-07-2024 19:30:48 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:49 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 21, CO:11 Fire: 1
11-07-2024 19:30:50 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:51 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 21, CO:11 Fire: 1
11-07-2024 19:30:52 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:53 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 21, CO:11 Fire: 1
11-07-2024 19:30:54 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:55 - Node ID: 111, Temperature: 27, Humidity: 59, CH4: 21, CO:11 Fire: 1
11-07-2024 19:30:56 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:57 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:30:58 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:30:59 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:31:00 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:01 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:31:02 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:03 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:04 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:05 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:31:06 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:07 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:31:08 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:09 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:31:10 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:11 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:12 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:13 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 21, CO:11 Fire: 1
11-07-2024 19:31:14 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:15 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:16 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:17 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:18 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:19 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:20 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:21 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:22 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:23 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:24 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:12 Fire: 0
11-07-2024 19:31:25 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:26 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:27 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:28 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:29 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:30 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:31 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:32 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:33 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:34 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:35 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:36 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:37 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:38 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:39 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:40 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:41 - Node ID: 111, Temperature: 27, Humidity: 57, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:42 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:43 - Node ID: 111, Temperature: 27, Humidity: 57, CH4: 20, CO:11 Fire: 0
11-07-2024 19:31:44 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:45 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:46 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:47 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:48 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:49 - Node ID: 111, Temperature: 27, Humidity: 58, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:50 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:51 - Node ID: 111, Temperature: 27, Humidity: 57, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:52 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:53 - Node ID: 111, Temperature: 27, Humidity: 57, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:54 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:55 - Node ID: 111, Temperature: 27, Humidity: 57, CH4: 20, CO:10 Fire: 0
11-07-2024 19:31:56 - Node ID: 112, Temperature: 25, Humidity: 61, CH4: 10, CO:11 Fire: 0
11-07-2024 19:31:57 - Node ID: 111, Temperature: 27, Humidity: 57, CH4: 20, CO:10 Fire: 0
